DISPLAY,PROMPT,QUESTION,Picture
4,LESS,Q73,NalaLokiMiloLuna
4,ALL,C1,LalaLokiMaxLuna
0,FEW,Q82,CocoLunaMiaLala
2,ALL,C2,LokiLeoCocoMilo
3,MORE,T2,LunaMiloMiaLoki
0,ALL,C3,LeoMaxNalaMia
2,MANY,Q65,MiloMiaTomLeo
4,AND,C4,MaxCocoLunaTom
2,MORE,Q70,LeoMiaCocoMax
2,AND,C5,CocoNalaMiloLala
4,MORE,Q83,NalaMiloTomLoki
0,AND,C6,NalaLunaMiaLoki
0,LESS,Q67,TomLalaLokiCoco
4,ALL,C7,LunaMiloTomLeo
1,LESS,T1,MiaLalaLeoCoco
2,ALL,C8,MiloMiaLalaMax
1,FEW,Q76,MiaCocoLalaTom
0,ALL,C9,MiaTomLokiCoco
0,MORE,Q72,CocoLalaLunaNala
4,AND,C10,TomLalaLeoNala
1,MANY,Q81,MaxNalaMiloTom
2,AND,C11,LalaLokiLeoMax
3,MORE,Q59,LokiLeoMaxLuna
0,AND,C12,LokiLeoMaxCoco
1,LESS,Q66,MiaTomLalaMax
4,ALL,C13,LeoMaxCocoNala
2,FEW,Q75,MiloMaxTomMia
2,ALL,C14,MaxCocoNalaLuna
4,MANY,Q78,LalaLeoCocoLuna
0,ALL,C15,CocoNalaLunaMilo
0,LESS,Q87,TomLokiMaxNala
4,AND,C16,NalaLunaMiloMia
2,LESS,Q60,LeoMaxCocoMilo
2,AND,C17,LunaMiloMiaTom
1,MORE,Q71,MaxTomNalaCoco
0,AND,C18,MiloMiaTomLala
3,LESS,Q79,LokiMaxNalaMilo
4,ALL,C19,MiaTomLalaLoki
3,LESS,Q74,LunaLeoMiaMilo
2,ALL,C20,TomLalaLokiLeo
3,FEW,Q69,LokiMiloMaxLeo
0,ALL,C21,LalaMaxLunaTom
3,MANY,Q84,LunaMiaLalaLeo
4,AND,C22,LokiCocoMiloLala
1,MORE,Q61,MaxCocoNalaMia
2,AND,C23,LeoNalaMiaLoki
4,MORE,Q63,NalaLunaMiloLala
0,AND,C24,MaxLunaTomLeo
0,MORE,Q62,CocoNalaLunaTom
4,ALL,C25,CocoMiloLalaMax
2,LESS,Q80,LeoCocoLunaMia
2,ALL,C26,NalaMiaLokiCoco
2,MORE,Q85,MiloTomLokiMax
0,ALL,C27,LunaTomLeoNala
4,FEW,U1,LalaLokiLeoNala
4,AND,C28,MiloLalaMaxLuna
4,LESS,Q68,LalaLunaLeoLoki
2,AND,C29,MiaLokiCocoMilo
0,MANY,Q77,TomNalaLokiLala
0,AND,C30,TomLeoNalaMia
