DISPLAY,PROMPT,QUESTION,Picture
4,LESS,Q68,LalaLunaLeoLoki
0,ALL,C1,LalaLokiMaxLuna
0,MORE,Q72,CocoLalaLunaNala
4,AND,C2,LokiLeoCocoMilo
4,LESS,Q73,NalaLokiMiloLuna
2,AND,C3,LeoMaxNalaMia
1,LESS,T1,MiaLalaLeoCoco
0,AND,C4,MaxCocoLunaTom
1,FEW,Q76,MiaCocoLalaTom
4,ALL,C5,CocoNalaMiloLala
3,MORE,T2,LunaMiloMiaLoki
2,ALL,C6,NalaLunaMiaLoki
1,MORE,Q71,MaxTomNalaCoco
0,ALL,C7,LunaMiloTomLeo
2,MANY,Q65,MiloMiaTomLeo
4,AND,C8,MiloMiaLalaMax
0,LESS,Q67,TomLalaLokiCoco
2,AND,C9,MiaTomLokiCoco
2,FEW,Q75,MiloMaxTomMia
0,AND,C10,TomLalaLeoNala
1,MANY,Q81,MaxNalaMiloTom
4,ALL,C11,LalaLokiLeoMax
3,MORE,Q59,LokiLeoMaxLuna
2,ALL,C12,LokiLeoMaxCoco
3,LESS,Q74,LunaLeoMiaMilo
0,ALL,C13,LeoMaxCocoNala
4,MORE,Q83,NalaMiloTomLoki
4,AND,C14,MaxCocoNalaLuna
4,MANY,Q78,LalaLeoCocoLuna
2,AND,C15,CocoNalaLunaMilo
0,LESS,Q87,TomLokiMaxNala
0,AND,C16,NalaLunaMiloMia
1,MORE,Q61,MaxCocoNalaMia
4,ALL,C17,LunaMiloMiaTom
0,FEW,Q82,CocoLunaMiaLala
2,ALL,C18,MiloMiaTomLala
3,LESS,Q79,LokiMaxNalaMilo
0,ALL,C19,MiaTomLalaLoki
2,MORE,Q70,LeoMiaCocoMax
4,AND,C20,TomLalaLokiLeo
3,FEW,Q69,LokiMiloMaxLeo
2,AND,C21,LalaMaxLunaTom
3,MANY,Q84,LunaMiaLalaLeo
0,AND,C22,LokiCocoMiloLala
2,MORE,Q85,MiloTomLokiMax
4,ALL,C23,LeoNalaMiaLoki
2,LESS,Q60,LeoMaxCocoMilo
2,ALL,C24,MaxLunaTomLeo
0,MORE,Q62,CocoNalaLunaTom
0,ALL,C25,CocoMiloLalaMax
2,LESS,Q80,LeoCocoLunaMia
4,AND,C26,NalaMiaLokiCoco
4,MORE,Q63,NalaLunaMiloLala
2,AND,C27,LunaTomLeoNala
0,MANY,Q77,TomNalaLokiLala
0,AND,C28,MiloLalaMaxLuna
4,FEW,U1,LalaLokiLeoNala
4,ALL,C29,MiaLokiCocoMilo
1,LESS,Q66,MiaTomLalaMax
2,ALL,C30,TomLeoNalaMia
