DISPLAY,PROMPT,MONOTONICITY
2,LESS,POS
0,AND,NEG
0,MORE,POS
4,AND,POS
4,LESS,POS
2,AND,POS
4,FEW,POS
4,AND,NEG
2,MORE,POS
2,AND,NEG
1,FEW,POS
4,AND,POS
4,MORE,POS
0,AND,POS
1,FEW,POS
2,AND,POS
1,MORE,POS
0,AND,POS
3,NAME,NEG
4,AND,NEG
0,NAME,NEG
2,AND,NEG
0,NAME,NEG
0,AND,NEG
0,MANY,NEG
4,AND,POS
2,NAME,NEG
2,AND,POS
1,LESS,POS
0,AND,POS
3,LESS,POS
4,AND,NEG
4,NAME,NEG
0,AND,POS
3,MORE,NEG
2,AND,NEG
3,MORE,POS
4,AND,POS
2,LESS,NEG
4,AND,NEG
1,NAME,NEG
2,AND,POS
3,FEW,POS
2,AND,NEG
0,LESS,POS
0,AND,POS
4,NAME,NEG
4,AND,POS
3,NAME,NEG
0,AND,NEG
4,LESS,NEG
0,AND,NEG
1,NAME,NEG
2,AND,POS
2,MANY,POS
0,AND,NEG
0,MORE,NEG
4,AND,NEG
2,NAME,NEG
2,AND,NEG
