DISPLAY,PROMPT,QUESTION,Picture
0,AND,Q68,LalaLokiMaxLuna
1,LESS,C1,MiaLalaLeoCoco
4,ALL,Q72,LokiLeoCocoMilo
3,MORE,C2,LunaMiloMiaLoki
2,ALL,Q73,LeoMaxNalaMia
1,FEW,C3,MiaCocoLalaTom
0,ALL,T1,MaxCocoLunaTom
4,LESS,C4,NalaLokiMiloLuna
4,AND,Q76,CocoNalaMiloLala
1,MORE,C5,MaxTomNalaCoco
2,AND,T2,NalaLunaMiaLoki
2,MANY,C6,MiloMiaTomLeo
0,AND,Q71,LunaMiloTomLeo
0,LESS,C7,TomLalaLokiCoco
4,ALL,Q65,MiloMiaLalaMax
2,FEW,C8,MiloMaxTomMia
2,ALL,Q67,MiaTomLokiCoco
0,MORE,C9,CocoLalaLunaNala
0,ALL,Q75,TomLalaLeoNala
1,MANY,C10,MaxNalaMiloTom
4,AND,Q81,LalaLokiLeoMax
3,MORE,C11,LokiLeoMaxLuna
2,AND,Q59,LokiLeoMaxCoco
3,LESS,C12,LunaLeoMiaMilo
0,AND,Q74,LeoMaxCocoNala
4,MORE,C13,NalaMiloTomLoki
4,ALL,Q83,MaxCocoNalaLuna
4,MANY,C14,LalaLeoCocoLuna
2,ALL,Q78,CocoNalaLunaMilo
0,LESS,C15,TomLokiMaxNala
0,ALL,Q87,NalaLunaMiloMia
1,MORE,C16,MaxCocoNalaMia
4,AND,Q61,LunaMiloMiaTom
0,FEW,C17,CocoLunaMiaLala
2,AND,Q82,MiloMiaTomLala
3,LESS,C18,LokiMaxNalaMilo
0,AND,Q79,MiaTomLalaLoki
2,MORE,C19,LeoMiaCocoMax
4,ALL,Q70,TomLalaLokiLeo
3,FEW,C20,LokiMiloMaxLeo
2,ALL,Q69,LalaMaxLunaTom
2,LESS,C21,LeoMaxCocoMilo
0,ALL,Q84,LokiCocoMiloLala
2,MORE,C22,MiloTomLokiMax
4,CONJ,Q85,LeoNalaMiaLoki
1,LESS,C23,MiaTomLalaMax
2,CONJ,Q60,MaxLunaTomLeo
3,MANY,C24,LunaMiaLalaLeo
0,CONJ,Q62,CocoMiloLalaMax
0,MORE,C25,CocoNalaLunaTom
4,ALL,Q80,NalaMiaLokiCoco
4,MORE,C26,NalaLunaMiloLala
2,ALL,Q63,LunaTomLeoNala
0,MANY,C27,TomNalaLokiLala
0,ALL,Q77,MiloLalaMaxLuna
2,LESS,C28,LeoCocoLunaMia
4,AND,U1,MiaLokiCocoMilo
4,FEW,C29,LalaLokiLeoNala
2,AND,Q66,TomLeoNalaMia
4,LESS,C30,LalaLunaLeoLoki
