DISPLAY,PROMPT,QUESTION,Picture
1,FEW,Q76,MiaCocoLalaTom
2,AND,C1,LalaLokiMaxLuna
0,FEW,Q82,CocoLunaMiaLala
0,AND,C2,LokiLeoCocoMilo
4,LESS,Q73,NalaLokiMiloLuna
4,ALL,C3,LeoMaxNalaMia
1,LESS,T1,MiaLalaLeoCoco
2,ALL,C4,MaxCocoLunaTom
2,MORE,Q70,LeoMiaCocoMax
0,ALL,C5,CocoNalaMiloLala
3,MORE,T2,LunaMiloMiaLoki
4,AND,C6,NalaLunaMiaLoki
0,MORE,Q72,CocoLalaLunaNala
2,AND,C7,LunaMiloTomLeo
2,MANY,Q65,MiloMiaTomLeo
0,AND,C8,MiloMiaLalaMax
0,LESS,Q67,TomLalaLokiCoco
4,ALL,C9,MiaTomLokiCoco
2,FEW,Q75,MiloMaxTomMia
2,ALL,C10,TomLalaLeoNala
1,MANY,Q81,MaxNalaMiloTom
0,ALL,C11,LalaLokiLeoMax
3,MORE,Q59,LokiLeoMaxLuna
4,AND,C12,LokiLeoMaxCoco
3,LESS,Q74,LunaLeoMiaMilo
2,AND,C13,LeoMaxCocoNala
4,MORE,Q83,NalaMiloTomLoki
0,AND,C14,MaxCocoNalaLuna
4,MANY,Q78,LalaLeoCocoLuna
4,ALL,C15,CocoNalaLunaMilo
0,LESS,Q87,TomLokiMaxNala
2,ALL,C16,NalaLunaMiloMia
2,LESS,Q60,LeoMaxCocoMilo
0,ALL,C17,LunaMiloMiaTom
1,MORE,Q71,MaxTomNalaCoco
4,AND,C18,MiloMiaTomLala
3,LESS,Q79,LokiMaxNalaMilo
2,AND,C19,MiaTomLalaLoki
1,MORE,Q61,MaxCocoNalaMia
0,AND,C20,TomLalaLokiLeo
3,FEW,Q69,LokiMiloMaxLeo
4,ALL,C21,LalaMaxLunaTom
3,MANY,Q84,LunaMiaLalaLeo
2,ALL,C22,LokiCocoMiloLala
2,MORE,Q85,MiloTomLokiMax
0,ALL,C23,LeoNalaMiaLoki
4,MORE,Q63,NalaLunaMiloLala
4,AND,C24,MaxLunaTomLeo
0,MORE,Q62,CocoNalaLunaTom
2,AND,C25,CocoMiloLalaMax
2,LESS,Q80,LeoCocoLunaMia
0,AND,C26,NalaMiaLokiCoco
4,FEW,U1,LalaLokiLeoNala
4,ALL,C27,LunaTomLeoNala
0,MANY,Q77,TomNalaLokiLala
2,ALL,C28,MiloLalaMaxLuna
1,LESS,Q66,MiaTomLalaMax
0,ALL,C29,MiaLokiCocoMilo
4,LESS,Q68,LalaLunaLeoLoki
4,AND,C30,TomLeoNalaMia
